10.172.219.212 - - [17/May/2016:01:22:52 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP304/build?token=INSTALLER HTTP/1.1" 201 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/scripts/sortable.js HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/cookie/cookie-min.js HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/adjuncts/1b791ed8/lib/layout/breadcrumbs.js HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/headshot.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/title.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/16x16/help.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/24x24/user.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/24x24/new-package.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/24x24/notepad.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/24x24/setting.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/16x16/collapse.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/16x16/notepad.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/16x16/computer.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/plugin/credentials/images/48x48/credentials.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/32x32/health-80plus.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/24x24/clock.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/32x32/blue.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/16x16/health-80plus.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/32x32/aborted.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/32x32/health-60to79.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/plugin/translation/flags.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/atom.gif HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/32x32/health-00to19.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/16x16/health-60to79.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:12 -0700] "GET /jenkins/static/1b791ed8/images/16x16/health-00to19.png HTTP/1.1" 304 -
10.58.180.73 - - [17/May/2016:20:27:17 -0700] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 338
10.58.180.73 - - [17/May/2016:20:27:17 -0700] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 655
10.58.180.73 - - [17/May/2016:20:27:22 -0700] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 338
10.58.180.73 - - [17/May/2016:20:27:22 -0700] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 655
10.58.180.73 - - [17/May/2016:20:27:28 -0700] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 338
10.58.180.73 - - [17/May/2016:20:27:28 -0700] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 655
